column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
3797,6.871357,80.160533,317120.182,-1700.0,2447.0,3378729.0,3376792.188
3798,6.858915,80.15306,317118.877,-1695.0,2446.0,3378730.0,3376793.079
3799,6.846575,80.145636,317117.58,-1694.0,2446.0,3378731.0,3376793.964
3800,6.834168,80.138163,317116.273,-1680.0,2443.0,3378732.0,3376794.856
3801,6.821863,80.130739,317114.974,-1672.0,2442.0,3378732.0,3376795.743
3802,6.809492,80.123264,317113.664,-1671.0,2442.0,3378732.0,3376796.636
3803,6.797221,80.115839,317112.363,-1671.0,2442.0,3378734.0,3376797.524
3804,6.784885,80.108364,317111.051,-1676.0,2443.0,3378735.0,3376798.419
3805,6.772649,80.100938,317109.746,-1677.0,2443.0,3378736.0,3376799.309
3806,6.760347,80.093462,317108.432,-1681.0,2443.0,3378736.0,3376800.205
3807,6.748146,80.086035,317107.125,-1683.0,2444.0,3378737.0,3376801.096
3808,6.73588,80.078558,317105.809,-1686.0,2444.0,3378738.0,3376801.993
3809,6.723713,80.071131,317104.499,-1689.0,2445.0,3378739.0,3376802.885
3810,6.711481,80.063653,317103.18,-1690.0,2445.0,3378739.0,3376803.784
3811,6.699348,80.056225,317101.869,-1691.0,2445.0,3378740.0,3376804.678
3812,6.687151,80.048746,317100.547,-1691.0,2445.0,3378741.0,3376805.578
3813,6.675052,80.041317,317099.233,-1691.0,2445.0,3378742.0,3376806.473
3814,6.662889,80.033838,317097.909,-1692.0,2445.0,3378743.0,3376807.375
3815,6.650824,80.026408,317096.593,-1693.0,2445.0,3378743.0,3376808.271
3816,6.638695,80.018928,317095.266,-1694.0,2446.0,3378744.0,3376809.174
3817,6.626665,80.011497,317093.948,-1697.0,2446.0,3378745.0,3376810.072
3818,6.61457,80.004016,317092.619,-1702.0,2447.0,3378745.0,3376810.977
3819,6.602573,79.996585,317091.298,-1708.0,2448.0,3378745.0,3376811.876
3820,6.590512,79.989103,317089.966,-1712.0,2449.0,3378747.0,3376812.782
3821,6.578548,79.981671,317088.643,-1721.0,2450.0,3378748.0,3376813.682
3822,6.566521,79.974188,317087.309,-1729.0,2452.0,3378749.0,3376814.589
3823,6.554591,79.966755,317085.983,-1739.0,2453.0,3378750.0,3376815.491
3824,6.542597,79.959272,317084.647,-1762.0,2457.0,3378750.0,3376816.4
3825,6.5307,79.951838,317083.318,-1793.0,2463.0,3378750.0,3376817.303
