position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
6.400,400.045511,0.056888889,-7.245098,-48.252351,7.245098,48.252351
6.600,400.048400,0.058666667,-7.471418,-49.759646,7.471418,49.759646
6.800,400.051378,0.060444444,-7.697731,-51.266886,7.697731,51.266886
7.000,400.054444,0.062222222,-7.924035,-52.774070,7.924035,52.774070
7.200,400.057600,0.064000000,-8.150330,-54.281196,8.150330,54.281196
7.400,400.060844,0.065777778,-8.376616,-55.788263,8.376616,55.788263
7.600,400.064178,0.067555556,-8.602893,-57.295268,8.602893,57.295268
7.800,400.067600,0.069333333,-8.829161,-58.802211,8.829161,58.802211
8.000,400.071111,0.071111111,-9.055419,-60.309089,9.055419,60.309089
8.200,400.074711,0.072888889,-9.281667,-61.815901,9.281667,61.815901
8.400,400.078400,0.074666667,-9.507905,-63.322646,9.507905,63.322646
8.600,400.082178,0.076444444,-9.734132,-64.829321,9.734132,64.829321
8.800,400.086044,0.078222222,-9.960349,-66.335925,9.960349,66.335925
9.000,400.090000,0.080000000,-10.186555,-67.842456,10.186555,67.842456
9.200,400.094044,0.081777778,-10.412750,-69.348913,10.412750,69.348913
9.400,400.098178,0.083555556,-10.638933,-70.855295,10.638933,70.855295
9.600,400.102400,0.085333333,-10.865105,-72.361598,10.865105,72.361598
9.800,400.106711,0.087111111,-11.091265,-73.867823,11.091265,73.867823
10.000,400.111111,0.088888889,-11.317412,-75.373966,11.317412,75.373966
10.200,400.115600,0.090666667,-11.543548,-76.880027,11.543548,76.880027
10.400,400.120178,0.092444444,-11.769670,-78.386004,11.769670,78.386004
10.600,400.124844,0.094222222,-11.995780,-79.891895,11.995780,79.891895
10.800,400.129600,0.096000000,-12.221877,-81.397698,12.221877,81.397698
11.000,400.134444,0.097777778,-12.447960,-82.903413,12.447960,82.903413
11.200,400.139378,0.099555556,-12.674030,-84.409037,12.674030,84.409037
11.400,400.144400,0.101333333,-12.900085,-85.914568,12.900085,85.914568
11.600,400.149511,0.103111111,-13.126127,-87.420006,13.126127,87.420006
11.800,400.154711,0.104888889,-13.352154,-88.925348,13.352154,88.925348
12.000,400.160000,0.106666667,-13.578167,-90.430592,13.578167,90.430592
12.200,400.165378,0.108444444,-13.804165,-91.935738,13.804165,91.935738
12.400,400.170844,0.110222222,-14.030148,-93.440783,14.030148,93.440783
12.600,400.176400,0.112000000,-14.256115,-94.945726,14.256115,94.945726
12.800,400.182044,0.113777778,-14.482067,-96.450565,14.482067,96.450565
13.000,400.187778,0.115555556,-14.708003,-97.955299,14.708003,97.955299
13.200,400.193600,0.117333333,-14.933923,-99.459926,14.933923,99.459926
